City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Half Moon Bay,US,37.46,-122.43,59.0,67,5,97.75,clear sky
84,Elektrogorsk,RU,55.88,38.79,46.4,93,90,4.47,overcast clouds
85,Nome,US,64.5,-165.41,26.6,73,90,18.34,overcast clouds
86,Gunjur,GM,13.2,-16.73,77.0,94,5,9.86,clear sky
87,Kanganpur,PK,30.77,74.12,69.98,23,0,1.88,clear sky
88,Henderson,US,36.04,-114.98,78.8,26,1,5.82,clear sky
89,Victoria,HK,22.29,114.16,75.0,64,37,8.99,scattered clouds
90,Cortez,US,37.35,-108.59,55.0,39,20,3.36,few clouds
91,Cockburn Town,TC,21.46,-71.14,81.68,78,100,17.69,light rain
92,Saint-Georges,GD,12.06,-61.75,82.4,74,40,17.22,scattered clouds
93,Broome,US,42.25,-75.83,33.01,96,1,4.7,clear sky
94,Nikolskoye,RU,59.7,30.79,46.99,87,75,6.71,broken clouds
95,Vestmannaeyjar,IS,63.44,-20.27,45.41,88,100,15.86,moderate rain
96,Jamestown,US,42.1,-79.24,41.0,65,1,6.93,clear sky
97,Fortuna,US,40.6,-124.16,55.99,100,90,2.8,overcast clouds
98,Bathsheba,BB,13.22,-59.52,80.6,74,40,19.46,scattered clouds
99,Goderich,CA,43.75,-81.72,50.0,57,0,12.75,clear sky
100,Esil,KZ,51.96,66.4,30.06,92,23,6.78,few clouds
101,Santa Vitoria Do Palmar,BR,-33.52,-53.37,55.63,79,0,8.12,clear sky
102,Mahebourg,MU,-20.41,57.7,69.8,73,40,9.17,shower rain
103,Shimoda,JP,34.67,138.95,60.8,51,40,6.93,scattered clouds
104,Lodja,CD,-3.48,23.43,69.4,97,92,1.5,moderate rain
105,Coquimbo,CL,-29.95,-71.34,53.6,100,90,4.7,light intensity drizzle
106,Castro,BR,-24.79,-50.01,52.99,95,33,6.6,scattered clouds
107,Kyzyl-Suu,KG,42.34,78.01,39.25,61,1,2.28,clear sky
108,Wairoa,NZ,-39.03,177.37,76.86,39,100,3.6,overcast clouds
109,Cayenne,GF,4.93,-52.33,80.6,88,75,3.36,broken clouds
110,Bozdar,PK,27.18,68.64,59.0,87,0,2.8,mist
111,Thompson,CA,55.74,-97.86,23.0,100,90,3.36,light snow
112,Soyo,AO,-6.13,12.37,77.79,87,52,9.22,broken clouds
113,Vostok,RU,46.49,135.88,20.34,85,53,13.76,broken clouds
114,Axim,GH,4.87,-2.24,77.47,87,27,4.61,light rain
115,Daru,PG,-9.08,143.21,83.03,78,100,11.1,light rain
116,Bubaque,GW,11.28,-15.83,83.26,76,0,12.37,light rain
117,Gornopravdinsk,RU,60.05,69.9,28.62,94,100,12.46,overcast clouds
118,Codrington,AU,-38.27,141.97,56.23,77,99,13.67,overcast clouds
119,Stephenville,US,32.22,-98.2,61.0,50,1,5.82,clear sky
120,Portland,US,45.52,-122.68,60.01,93,90,7.52,overcast clouds
121,Tilichiki,RU,60.47,166.1,35.71,100,100,22.5,moderate rain
122,Los Alamos,US,35.89,-106.31,60.8,23,1,4.7,clear sky
123,Rio Grande,BR,-32.03,-52.1,55.99,77,1,1.01,clear sky
124,Pangody,RU,65.85,74.49,24.06,98,100,6.49,snow
125,Sabile,LV,57.05,22.57,44.69,94,71,5.97,broken clouds
126,Beringovskiy,RU,63.05,179.32,24.26,82,86,7.81,overcast clouds
127,Singaraja,ID,-8.11,115.09,88.41,53,20,2.57,few clouds
128,Ternate,ID,0.8,127.4,84.2,71,100,4.41,overcast clouds
129,Pisco,PE,-13.7,-76.22,62.6,88,0,9.17,clear sky
130,Kapaa,US,22.08,-159.32,80.6,83,40,12.75,scattered clouds
131,Hithadhoo,MV,-0.6,73.08,83.39,71,100,7.49,overcast clouds
132,Saint-Francois,FR,46.42,3.91,39.99,100,93,1.12,overcast clouds
133,Zhuhai,CN,22.28,113.57,80.01,64,20,10.29,few clouds
134,Atar,MR,20.52,-13.05,78.71,18,0,9.19,clear sky
135,Berlevag,NO,70.86,29.09,40.91,70,0,18.99,clear sky
136,Nanortalik,GL,60.14,-45.24,38.3,87,100,19.77,light rain
137,Bengkulu,ID,-3.8,102.27,83.37,66,76,3.02,broken clouds
138,Bethel,US,41.37,-73.41,35.6,74,90,2.17,overcast clouds
139,Carnarvon,AU,-24.87,113.63,86.0,27,0,14.99,clear sky
140,Kirensk,RU,57.79,108.11,26.56,96,100,8.61,light snow
141,Poum,NC,-20.23,164.02,77.43,77,100,6.24,moderate rain
142,Raudeberg,NO,61.99,5.14,44.01,87,100,10.29,overcast clouds
143,Saint-Philippe,RE,-21.36,55.77,71.6,49,20,8.05,few clouds
144,Salinas,US,36.68,-121.66,57.2,82,1,6.93,clear sky
145,Oussouye,SN,12.48,-16.55,78.8,94,0,2.24,clear sky
146,Stepantsevo,RU,56.13,41.7,37.78,96,14,5.5,few clouds
147,Jining,CN,35.41,116.58,60.69,30,25,12.19,scattered clouds
148,Tazovskiy,RU,67.47,78.7,8.35,96,100,9.57,overcast clouds
149,Khasan,RU,42.43,130.64,42.17,52,0,19.06,clear sky
150,Kemijarvi,FI,66.71,27.43,34.5,89,100,10.47,overcast clouds
151,Asau,RO,46.43,26.4,45.0,97,95,1.81,overcast clouds
152,Srednekolymsk,RU,67.45,153.68,-4.32,86,6,9.51,clear sky
153,Zitacuaro,MX,19.44,-100.36,57.99,80,20,5.57,few clouds
154,Bodden Town,KY,19.28,-81.25,78.8,94,75,9.17,broken clouds
155,Diffa,NE,13.32,12.61,78.19,28,0,12.57,clear sky
156,San Quintin,MX,30.48,-115.95,51.01,4,90,7.0,overcast clouds
